Character,Label
Ghost Rider,Hero
Spider Man,Hero
Wolverine,Hero
Iron Man,Hero
Hulk,Hero
Deadpool,Hero
Captain America,Hero
Thor,Hero
Daredevil,Hero
Mr Fantastic,Hero
Black Bolt,Hero
Dr. Strange,Hero
Silver Surfer,Hero
Cyclops,Hero
Punisher,Hero
Black Panther,Hero
The Phoenix,Hero
Invisible Woman,Hero
Namor,Hero
Human Torch,Hero
Gambit,Hero
Ant-Man,Hero
Thing,Hero
Blade,Hero
Nova,Hero
Storm,Hero
Iron Fist,Hero
Moon Knight,Hero
Rogue,Hero
Captain Marvel,Hero
Vision,Hero
Scarlet Witch,Hero
Luke Cage,Hero
Star Lord,Hero
Nightcrawler,Hero
Beast,Hero
Task Master,Hero
Quicksilver,Hero
Elektra,Hero
Mystique,Hero
Rocket Raccoon,Hero
Groot,Hero
Jessica Jones,Hero
Falcon,Hero
War Machine,Hero
Cloak,Hero
Dagger,Hero
Professor X,Hero
Spider Woman,Hero
Cable,Hero
The Winter Soldier,Hero
Colossus,Hero
Psylocke,Hero
She Hulk,Hero
Emma Frost,Hero
Ice Man,Hero
Gamora,Hero
Miles Morales,Hero
Hawkeye,Hero
Black Widow,Hero
Kitty Pryde,Hero
Wasp,Hero
Angel,Hero
Drax,Hero
Wonder Man,Hero
White Tiger,Hero
Nick Fury,Hero
Jubilee,Hero
Adam Warlock,Hero
Sentry,Hero
Red Hulk,Hero
Domino,Hero
Havok,Hero
Songbird,Hero
X-23,Hero
Goliath,Hero
Magik,Hero
Medusa,Hero
Hercules,Hero
Bishop,Hero
Agent Venom,Hero
Silver Sable,Hero
Captain Britain,Hero
Firestar,Hero
Lockjaw,Hero
Anti Venom,Hero
Black Cat,Hero
Heimdall,Hero
Daisy Johnson (Quake),Hero
Valkyrie,Hero
Crystal,Hero
Ka Zar,Hero
Northstar,Hero
Mockingbird,Hero
Yondu,Hero
Polaris,Hero
Wiccan,Hero
Clea,Hero
Dazzler,Hero
Odin,Hero
Loki,Villain
Apocalypse,Villain
Madelyne Pryor,Villain
Kang,Villain
Carnage,Villain
Mephisto,Villain
Baron Helmut Zemo,Villain
Venom,Villain
Mandarin,Villain
Sabretooth,Villain
Dormammu,Villain
Doctor Octopus,Villain
Thanos,Villain
Leader,Villain
Mystique,Villain
Wizard,Villain
Juggernaut,Villain
Immortus,Villain
Bullseye,Villain
Morgan Le Fay,Villain
Viper,Villain
Super-Skrull,Villain
Klaw,Villain
Ultron,Villain
Mental Organism Designed Only for Killing,Villain
Abomination,Villain
Grandmaster,Villain
Magus,Villain
Onslaught,Villain
Annihilus,Villain
Sentinels,Villain
Mr. Sinister,Villain
Thunderbolt Ross,Villain
Phoenix Force,Villain
Doctor Doom,Villain
Baron von Strucker,Villain
Arnim Zola,Villain
Sebastian Shaw,Villain
Mad Thinker,Villain
Beyonder,Villain
Taskmaster,Villain
The Hood,Villain
Doctor Faustus,Villain
Surtur,Villain
Ronan,Villain
Red Skull,Villain
Emma Frost,Villain
Sentry,Villain
High Evolutionary,Villain
Justin Hammer,Villain
Graviton,Villain
Count Nefaria,Villain
Crossbones,Villain
Baron Mordo,Villain
Maestro,Villain
Kraven the Hunter,Villain
Kingpin,Villain
Enchantress,Villain
Lizard,Villain
William Stryker,Villain
Baron Heinrich Zemo,Villain
Lady Deathstrike,Villain
Romulus,Villain
Executioner,Villain
Madame Masque,Villain
Nitro,Villain
Purple Man,Villain
Norman Osborn,Villain
Proteus,Villain
Collector,Villain
U-Foes,Villain
Grim Reaper,Villain
Nuke,Villain
Vulcan,Villain
Hobgoblin (Kingsley),Villain
Sin,Villain
Mysterio,Villain
Korvac,Villain
Galactus,Villain
Ares,Villain
Tiger Shark,Villain
Stryfe,Villain
Lilith,Villain
Cassandra Nova,Villain
Lucia Von Bardas,Villain
Jonah Jameson,Villain
Selene,Villain
Hela,Villain
Sandman,Villain
Magneto,Villain
Omega Red,Villain
Pluto,Villain
Callisto,Villain
Blackheart,Villain
Electro,Villain
Supreme Intelligence,Villain
Red Ghost,Villain
Terrax,Villain
Nimrod,Villain
Maximus,Villain
